 table_schema |                 table_name                 |                          privileges                           
--------------+--------------------------------------------+---------------------------------------------------------------
 public       | accord_cooperation                         | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | affectation                                | DELETE, INSERT, SELECT, UPDATE
 public       | agent                                      | DELETE, INSERT, SELECT, UPDATE
 public       | agent_ia                                   | DELETE, INSERT, SELECT, UPDATE
 public       | agent_ia_interaction                       | DELETE, INSERT, SELECT, UPDATE
 public       | appel_offres                               | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | audit_log                                  | DELETE, INSERT, SELECT, UPDATE
 public       | autorisation_industrielle                  | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | bien_culturel_protege                      | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | bien_patrimonial                           | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | certificat_pki                             | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | competence                                 | DELETE, INSERT, SELECT, UPDATE
 public       | corps                                      | DELETE, INSERT, SELECT, UPDATE
 public       | decision_action                            | DELETE, INSERT, SELECT, UPDATE
 public       | decision_gouvernementale                   | DELETE, INSERT, SELECT, UPDATE
 public       | decision_institutionnelle                  | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | declaration_douaniere                      | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | declaration_fiscale                        | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | delegation_perimetre                       | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | delegation_pouvoir                         | DELETE, INSERT, REFERENCES, SELECT, UPDATE
 public       | document                                   | DELETE, INSERT, SELECT, UPDATE
 public       | document_version                           | DELETE, INSERT, SELECT, UPDATE
 public       | dossier_administratif                      | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | dossier_agent_rh                           | DELETE, INSERT, SELECT, UPDATE
 public       | dossier_entreprise                         | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | dossier_judiciaire                         | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | dossier_logistique_defense                 | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | dossier_projet_investissement              | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | dossier_recouvrement                       | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | dossier_scolaire                           | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | ecriture_comptable                         | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | enquete_statistique                        | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | entity_event                               | DELETE, INSERT, SELECT, UPDATE
 public       | entity_relation                            | DELETE, INSERT, SELECT, UPDATE
 public       | entity_scope                               | DELETE, INSERT, SELECT, UPDATE
 public       | etude_impact_environnemental               | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | execution_rapport                          | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | exploitation_agricole                      | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | facture                                    | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | federation_sportive                        | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | fiche_tome                                 | DELETE, INSERT, SELECT, UPDATE
 public       | fonction                                   | DELETE, INSERT, SELECT, UPDATE
 public       | grade                                      | DELETE, INSERT, SELECT, UPDATE
 public       | immatriculation_vehicule                   | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | incident_securitaire                       | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | index_recherche_global                     | DELETE, INSERT, SELECT, UPDATE
 public       | indicateur                                 | DELETE, INSERT, SELECT, UPDATE
 public       | institution                                | DELETE, INSERT, REFERENCES, SELECT, UPDATE
 public       | institution_relation                       | DELETE, INSERT, SELECT, UPDATE
 public       | instruction                                | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | instruction_historique                     | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | journal_audit                              | INSERT, SELECT
 public       | journal_audit_default                      | DELETE, INSERT, SELECT, UPDATE
 public       | journal_connexion                          | DELETE, INSERT, SELECT, UPDATE
 public       | licence_commerciale                        | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | licence_telecom                            | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | ligne_budgetaire                           | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | manuel_architecture                        | DELETE, INSERT, SELECT, UPDATE
 public       | meta_attribute                             | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | meta_entity                                | DELETE, INSERT, REFERENCES, SELECT, UPDATE
 public       | meta_notification_rule                     | DELETE, INSERT, SELECT, UPDATE
 public       | meta_permission                            | DELETE, INSERT, SELECT, UPDATE
 public       | meta_rule                                  | DELETE, INSERT, SELECT, UPDATE
 public       | meta_workflow_transition                   | DELETE, INSERT, SELECT, UPDATE
 public       | multi_institution_participant              | DELETE, INSERT, SELECT, UPDATE
