"Test","StatutAttendu","StatutObtenu","CodeAttendu","CodeObtenu","Pass"
"1. Sans JWT","401","401","AUTHENTICATION_REQUIRED",,"False"
"2. JWT invalide","401","401","AUTHENTICATION_REQUIRED",,"False"
"3. Permission refusee (rni_lien.CREATE)","403","403","FORBIDDEN","FORBIDDEN","True"
"4. UUID invalide (emetteur_institution_id)","400","400","VALIDATION_ERROR","VALIDATION_ERROR","True"
"5. Enum invalide (priorite)","400","400","VALIDATION_ERROR","VALIDATION_ERROR","True"
"6. Institution usurpee (emetteur)","403","403","FORBIDDEN_INSTITUTION","FORBIDDEN_INSTITUTION","True"
"7. Instruction inexistante","404","404","NOT_FOUND","NOT_FOUND","True"
"8. Action legitime (emission instruction)","201","201",,,"True"
"9. Permission refusee (rni_lien.DEACTIVATE)","403","403","FORBIDDEN","FORBIDDEN","True"
"10. Permission refusee (UPDATE_STATUS)","403","403","FORBIDDEN","FORBIDDEN","True"
"11. Verification - institution usurpee","403","404","FORBIDDEN_INSTITUTION","NOT_FOUND","False"
