  grantor  |  grantee  | table_catalog | table_schema |                 table_name                 | privilege_type | is_grantable | with_hierarchy 
-----------+-----------+---------------+--------------+--------------------------------------------+----------------+--------------+----------------
 pngie_app | pngie_app | pngie_rdc     | public       | accord_cooperation                         | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | accord_cooperation                         | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | accord_cooperation                         | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | accord_cooperation                         | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | accord_cooperation                         | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | accord_cooperation                         | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | accord_cooperation                         | UPDATE         | YES          | NO
 postgres  | pngie_app | pngie_rdc     | public       | affectation                                | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | affectation                                | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | affectation                                | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | affectation                                | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | agent                                      | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | agent                                      | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | agent                                      | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | agent                                      | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | agent_ia                                   | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | agent_ia                                   | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | agent_ia                                   | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | agent_ia                                   | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | agent_ia_interaction                       | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | agent_ia_interaction                       | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | agent_ia_interaction                       | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | agent_ia_interaction                       | DELETE         | NO           | NO
 pngie_app | pngie_app | pngie_rdc     | public       | appel_offres                               | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | appel_offres                               | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | appel_offres                               | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | appel_offres                               | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | appel_offres                               | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | appel_offres                               | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | appel_offres                               | TRIGGER        | YES          | NO
 postgres  | pngie_app | pngie_rdc     | public       | audit_log                                  | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | audit_log                                  | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | audit_log                                  | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | audit_log                                  | DELETE         | NO           | NO
 pngie_app | pngie_app | pngie_rdc     | public       | autorisation_industrielle                  | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | autorisation_industrielle                  | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | autorisation_industrielle                  | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | autorisation_industrielle                  | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | autorisation_industrielle                  | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | autorisation_industrielle                  | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | autorisation_industrielle                  | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | bien_culturel_protege                      | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | bien_culturel_protege                      | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | bien_culturel_protege                      | TRUNCATE       | YES          | NO
